Date,Mkt-RF,SMB,HML,RF
19270207,100.93,95.97,110.34,101.96
19270208,101.03,96.13,111.51,101.98
19270209,101.07,95.27,110.90,101.99
19270210,100.08,95.53,110.14,102.00
19270211,100.39,95.13,109.44,102.01
19270214,100.49,95.01,109.13,102.03
19270215,100.59,94.73,108.99,102.04
19270216,100.57,94.72,110.68,102.05
19270217,100.81,94.79,111.62,102.06
19270218,101.13,94.10,111.50,102.08
19270219,101.14,94.47,110.96,102.09
19270221,100.97,94.67,109.94,102.10
19270223,100.72,94.37,109.80,102.11
19270224,100.86,94.70,109.89,102.12
19270225,100.21,94.92,109.52,102.14
19270226,100.28,94.75,109.47,102.15
19270228,100.83,94.39,109.74,102.16
19270301,100.43,94.37,109.15,102.17
19270302,99.28,94.22,108.79,102.18
19270303,100.30,94.19,108.85,102.19
19270304,99.84,94.39,108.66,102.21
19270305,99.76,94.96,108.15,102.22
19270307,99.39,94.87,107.53,102.23
19270308,100.12,94.34,107.20,102.24
19270309,100.61,94.51,107.56,102.25
19270310,101.07,94.61,108.05,102.26
19270311,101.25,94.37,108.31,102.27
19270312,101.20,94.31,108.10,102.28
19270314,101.39,94.36,107.27,102.30
19270315,100.57,94.27,106.81,102.31
19270316,101.02,93.81,106.74,102.32
19270317,101.44,93.53,106.27,102.33
19270318,99.21,93.63,105.84,102.34
19270319,99.25,93.63,105.63,102.35
19270321,99.42,93.12,105.68,102.36
19270322,98.36,93.28,105.11,102.37
19270323,98.55,93.29,105.63,102.39
19270324,99.22,93.25,105.70,102.40
19270325,99.38,93.67,105.34,102.41
19270326,100.34,93.81,105.52,102.42
19270328,100.86,93.59,105.60,102.43
19270329,99.77,93.50,105.18,102.44
19270330,99.15,93.65,106.41,102.45
19270331,99.45,92.86,107.01,102.46
19270401,99.40,92.68,106.67,102.47
19270402,99.32,92.86,106.70,102.49
19270404,99.85,92.64,107.93,102.50
19270405,100.44,92.33,108.03,102.51
19270406,100.11,92.23,107.99,102.52
19270407,100.35,91.91,108.34,102.53
19270408,100.31,92.22,108.32,102.54
19270409,100.34,92.10,108.64,102.55
19270411,100.53,92.14,108.40,102.56
19270412,100.24,92.66,108.27,102.57
19270413,100.45,92.79,107.02,102.58
19270414,100.54,93.13,106.80,102.59
19270416,100.72,93.64,106.99,102.60
19270418,99.97,93.48,107.80,102.61
19270419,100.15,93.41,108.16,102.62
19270420,100.27,93.06,109.18,102.63
19270421,100.63,92.84,108.36,102.64
19270422,100.70,92.52,108.41,102.65
19270423,100.33,92.74,108.41,102.66
19270425,98.76,92.80,108.52,102.67
19270426,99.34,92.85,108.05,102.68
19270427,98.96,92.90,108.27,102.69
19270428,98.89,93.07,107.89,102.70
19270429,99.36,93.07,107.70,102.71
19270430,99.99,93.27,107.61,102.72
19270502,100.26,93.47,108.11,102.73
19270503,101.00,93.50,107.41,102.75
19270504,101.79,93.38,107.53,102.76
19270505,102.10,93.66,107.22,102.77
19270506,102.38,93.53,108.15,102.78
19270507,102.67,93.78,107.65,102.80
19270509,100.20,93.85,108.07,102.81
19270510,100.13,93.74,108.21,102.82
19270511,99.86,93.71,108.26,102.83
19270512,99.75,93.40,108.67,102.84
19270513,100.24,93.30,108.41,102.86
19270514,100.26,93.57,108.44,102.87
19270516,99.54,94.08,108.21,102.88
19270517,100.00,94.15,108.44,102.89
19270518,100.51,93.59,108.54,102.91
19270519,100.19,93.20,108.37,102.92
19270520,100.62,92.71,108.71,102.93
19270521,100.22,92.87,108.83,102.94
19270523,100.37,93.33,109.61,102.96
19270524,100.23,93.58,110.52,102.97
19270525,100.39,94.21,111.03,102.98
19270526,100.50,94.12,111.69,102.99
19270527,100.94,94.43,111.71,103.01
19270528,101.06,95.09,112.16,103.02
19270531,100.25,94.50,112.62,103.03
19270601,100.57,94.43,112.90,103.04
19270602,100.08,94.35,113.20,103.05
19270603,99.20,94.52,112.46,103.06
19270604,99.63,94.63,112.68,103.07
19270606,100.13,94.81,114.02,103.08
19270607,99.84,95.35,113.77,103.09
19270608,100.12,95.22,114.27,103.10
19270609,100.14,95.39,113.41,103.11
19270610,99.62,95.52,112.99,103.12
19270611,99.51,95.25,112.78,103.13
19270614,98.49,95.27,111.99,103.14
19270615,99.36,95.38,112.21,103.15
19270616,99.97,95.05,112.01,103.16
19270617,100.13,95.63,113.14,103.17
19270618,100.01,95.78,113.83,103.18
19270620,99.83,96.21,113.16,103.19
19270621,99.48,95.90,113.68,103.21
19270622,99.99,95.94,113.01,103.22
19270623,99.13,95.49,112.15,103.23
19270624,100.13,95.44,112.50,103.24
19270625,100.03,95.36,112.59,103.25
19270627,98.81,94.83,111.88,103.26
19270628,99.07,94.80,111.70,103.27
19270629,99.10,94.92,111.16,103.28
19270630,99.01,94.86,110.95,103.29
19270701,99.65,94.89,110.83,103.30
19270702,100.55,95.14,111.02,103.31
19270705,101.39,94.75,111.18,103.32
19270706,100.60,94.97,111.10,103.34
19270707,100.35,95.10,111.07,103.35
19270708,100.17,94.72,111.21,103.36
19270709,100.34,94.90,111.10,103.37
19270711,100.74,94.43,111.41,103.39
19270712,101.07,94.03,112.00,103.40
19270713,101.34,94.22,111.82,103.41
19270714,100.42,94.17,110.94,103.42
19270715,100.68,94.17,110.55,103.44
19270716,100.16,94.29,110.75,103.45
19270718,100.34,94.15,110.79,103.46
19270719,100.60,93.99,111.24,103.47
19270720,101.04,94.10,110.40,103.49
19270721,101.00,94.21,109.83,103.50
19270722,100.95,94.14,109.54,103.51
19270723,101.12,94.30,109.72,103.52
19270725,100.41,93.95,109.79,103.54
19270726,100.66,93.71,109.56,103.55
19270727,100.07,93.22,109.52,103.56
19270728,100.21,92.98,109.27,103.57
19270729,100.68,92.73,109.52,103.59
19270730,101.15,92.01,109.78,103.60
19270801,101.70,91.80,109.89,103.61
19270802,102.33,91.43,109.57,103.62
19270803,101.67,91.83,109.07,103.63
19270804,100.93,91.55,109.20,103.64
19270805,100.33,91.82,108.77,103.65
19270806,99.89,91.91,108.38,103.66
19270808,98.81,92.49,107.79,103.67
19270809,99.74,92.36,108.26,103.68
19270810,99.98,92.26,107.99,103.69
19270811,98.96,91.87,107.78,103.70
19270812,97.41,91.50,106.77,103.71
19270813,98.27,91.28,106.92,103.72
19270815,101.26,91.25,107.86,103.73
19270816,101.89,91.29,107.96,103.74
19270817,100.31,91.74,107.82,103.75
19270818,100.34,91.51,107.86,103.76
19270819,100.49,91.72,107.53,103.77
19270820,100.84,91.74,107.16,103.78
19270822,101.20,91.59,107.29,103.80
19270823,101.25,91.58,107.41,103.81
19270824,101.45,91.62,107.14,103.82
19270825,100.02,91.48,106.31,103.83
19270826,100.24,91.23,106.25,103.84
19270827,99.89,91.51,106.11,103.85
19270829,99.86,91.52,106.46,103.86
19270830,99.83,91.26,105.70,103.87
19270831,99.34,91.31,105.88,103.88
19270901,100.14,91.20,105.48,103.89
19270902,100.72,91.24,105.69,103.89
19270903,101.22,91.12,105.34,103.90
19270906,100.91,90.53,105.61,103.91
19270907,101.36,90.21,105.86,103.92
19270908,100.01,90.12,106.05,103.93
19270909,99.38,90.10,105.45,103.94
19270910,99.81,90.05,105.68,103.94
19270912,99.45,90.41,105.32,103.95
19270913,100.73,89.71,105.11,103.96
19270914,101.04,89.55,104.86,103.97
19270915,101.29,89.39,104.84,103.98
19270916,100.08,89.08,104.94,103.99
19270917,99.79,89.28,104.72,103.99
19270919,99.68,89.00,104.69,104.00
19270920,100.23,89.09,105.11,104.01
19270921,100.08,89.28,105.10,104.02
19270922,98.92,89.34,104.66,104.03
19270923,99.43,89.31,104.75,104.04
19270924,100.08,89.01,104.56,104.04
19270926,99.17,89.10,104.63,104.05
19270927,100.22,88.65,104.68,104.06
19270928,99.84,88.60,105.16,104.07
19270929,100.17,88.51,105.16,104.08
19270930,101.42,88.22,105.18,104.09
19271001,101.92,88.17,105.42,104.10
19271003,102.18,87.98,106.00,104.11
19271004,101.78,88.26,104.63,104.12
19271005,101.48,88.27,104.44,104.13
19271006,101.72,88.21,105.02,104.14
19271007,99.26,88.65,104.27,104.15
19271008,98.94,88.54,104.46,104.16
19271010,99.49,88.29,104.04,104.17
19271011,99.53,88.51,103.94,104.18
19271013,100.22,88.53,103.00,104.19
19271014,100.21,89.10,103.08,104.20
19271015,100.23,89.45,103.17,104.21
19271017,98.96,89.48,102.90,104.22
19271018,99.30,88.99,102.81,104.23
19271019,99.19,89.16,103.27,104.24
19271020,98.18,89.08,103.55,104.25
19271021,99.24,89.83,102.68,104.26
19271022,98.56,89.81,103.02,104.27
19271024,98.92,89.72,102.59,104.28
19271025,100.50,89.56,101.76,104.29
19271026,100.55,90.17,101.83,104.30
19271027,100.14,90.49,101.67,104.32
19271028,98.69,90.68,100.69,104.33
19271029,99.50,90.17,100.72,104.34
19271031,100.26,90.12,100.39,104.35
19271101,99.99,90.21,100.54,104.36
19271102,100.99,89.73,100.34,104.37
19271103,102.12,89.40,100.60,104.37
19271104,102.09,89.59,100.71,104.38
19271105,102.65,89.62,100.68,104.39
19271107,103.36,89.96,100.41,104.40
19271109,102.55,90.30,99.98,104.41
19271110,100.24,90.29,99.54,104.42
19271111,101.11,89.99,99.23,104.43
19271112,100.34,90.13,99.05,104.44
19271114,100.85,90.43,99.12,104.45
19271115,100.96,90.28,99.81,104.46
19271116,100.92,90.66,99.95,104.47
19271117,101.08,90.93,99.88,104.48
19271118,101.70,91.03,99.79,104.49
19271119,101.97,91.42,99.80,104.50
19271121,99.48,91.54,100.22,104.51
19271122,99.85,91.43,100.09,104.52
19271123,100.28,91.62,100.15,104.53
19271125,100.52,91.74,100.58,104.53
19271126,100.51,92.23,100.56,104.54
19271128,99.75,92.36,100.63,104.55
19271129,100.40,92.70,100.38,104.56
19271130,100.88,92.57,100.17,104.57
19271201,100.39,92.35,100.21,104.58
19271202,100.26,91.82,101.19,104.59
19271203,100.62,91.59,101.41,104.60
19271205,99.60,91.92,101.55,104.61
19271206,99.57,92.21,101.30,104.62
19271207,99.07,92.12,100.77,104.63
19271208,98.22,92.33,100.57,104.64
19271209,99.33,92.33,100.50,104.65
19271210,99.39,92.77,100.29,104.66
19271212,99.97,93.50,99.70,104.67
19271213,100.38,93.24,99.37,104.68
19271214,100.01,93.30,99.37,104.69
19271215,100.52,93.49,99.58,104.69
19271216,101.18,93.24,99.19,104.70
19271217,101.23,93.10,99.85,104.71
19271219,101.56,93.31,99.54,104.72
19271220,101.57,93.09,99.77,104.73
19271221,101.50,93.02,100.02,104.74
19271222,101.44,92.58,100.26,104.75
19271223,100.20,92.29,100.38,104.76
19271224,100.34,92.32,100.74,104.77
19271227,100.01,92.49,100.49,104.78
19271228,99.44,92.69,100.26,104.79
19271229,99.59,92.60,99.15,104.80
19271230,100.02,93.28,99.13,104.81
19271231,100.34,93.44,99.11,104.82
19280103,100.79,94.25,98.99,104.83
19280104,100.65,94.72,98.96,104.84
19280105,99.27,94.61,99.19,104.85
19280106,99.89,95.14,99.30,104.86
19280107,100.11,95.11,99.54,104.87
19280109,99.22,95.23,99.48,104.88
19280110,98.40,94.78,99.57,104.89
19280111,98.51,95.10,99.89,104.90
19280112,99.01,95.32,99.79,104.91
19280113,99.61,95.54,99.93,104.92
19280114,98.94,95.58,99.89,104.93
19280116,99.11,95.10,99.51,104.94
19280117,99.28,95.38,99.90,104.95
19280118,99.69,95.08,99.74,104.96
19280119,100.26,95.29,99.63,104.97
19280120,100.83,95.42,99.60,104.99
19280121,101.04,95.80,99.28,105.00
19280123,101.66,95.96,99.20,105.01
19280124,101.93,96.40,98.89,105.02
19280125,100.87,96.13,98.51,105.03
19280126,100.52,96.85,98.34,105.04
19280127,100.79,96.66,98.37,105.05
19280128,99.50,97.06,98.58,105.06
19280130,99.08,96.73,98.24,105.07
19280131,99.40,97.26,98.60,105.08
19280201,99.15,97.80,97.92,105.09
19280202,99.59,97.93,98.09,105.11
19280203,98.45,97.47,97.65,105.12
19280204,98.50,97.04,97.81,105.14
19280206,100.20,97.35,97.89,105.15
19280207,99.92,97.12,97.20,105.17
19280208,100.08,97.08,97.07,105.18
19280209,100.54,96.97,96.94,105.20
19280210,100.45,96.52,96.79,105.21
19280211,100.43,96.62,97.30,105.23
19280214,100.05,97.15,96.90,105.24
19280215,99.77,96.64,96.83,105.26
19280216,99.45,96.04,96.91,105.27
19280217,98.34,95.40,96.34,105.29
19280218,97.88,94.81,96.45,105.30
19280220,99.84,94.99,96.74,105.32
19280221,100.90,95.36,96.98,105.33
19280223,101.13,95.44,96.88,105.34
19280224,101.47,95.13,97.34,105.36
19280225,101.59,94.97,98.05,105.37
19280227,101.09,95.04,97.75,105.39
19280228,101.44,95.07,98.12,105.40
19280229,100.57,95.31,97.91,105.42
19280301,100.82,95.20,97.76,105.43
19280302,100.07,95.20,97.10,105.44
19280303,100.56,95.19,96.50,105.45
19280305,101.22,95.09,96.62,105.46
19280306,101.62,95.34,96.44,105.48
19280307,101.18,95.54,96.39,105.49
19280308,101.61,95.52,96.92,105.50
19280309,102.86,94.95,96.57,105.51
19280310,99.73,94.60,96.48,105.52
19280312,100.14,94.44,96.41,105.53
19280313,99.70,94.47,96.39,105.55
19280314,99.83,94.47,96.84,105.56
19280315,100.55,94.09,97.02,105.57
19280316,101.48,93.53,97.27,105.58
19280317,101.68,93.54,97.73,105.59
19280319,101.82,94.66,97.04,105.60
19280320,102.25,95.00,96.86,105.62
19280321,100.86,95.11,97.36,105.63
19280322,100.50,94.84,96.99,105.64
19280323,100.75,94.46,96.35,105.65
19280324,100.82,94.05,96.28,105.66
19280326,101.78,94.14,96.03,105.67
19280327,101.44,93.91,97.05,105.69
19280328,101.47,94.32,97.12,105.70
19280329,101.67,94.58,97.49,105.71
19280330,103.18,94.50,96.87,105.72
19280331,99.43,94.92,97.00,105.73
19280402,98.56,95.57,97.50,105.74
19280403,100.60,95.80,97.16,105.75
19280404,100.53,96.12,97.41,105.76
19280405,101.67,95.86,97.65,105.77
19280409,102.01,96.79,97.81,105.78
19280410,101.27,97.18,97.56,105.80
19280411,102.69,97.18,98.42,105.81
19280412,102.44,97.71,98.01,105.82
19280413,101.40,97.72,97.55,105.83
19280414,100.95,97.82,97.36,105.84
19280416,100.52,97.52,97.60,105.85
19280417,99.84,97.68,97.30,105.86
19280418,99.86,97.86,97.20,105.87
19280419,100.44,98.41,97.84,105.88
19280420,99.10,98.46,97.94,105.89
19280423,98.38,98.41,98.31,105.90
19280424,98.73,98.40,98.37,105.91
19280425,100.73,98.35,99.79,105.92
19280426,101.36,98.46,100.41,105.93
19280427,101.04,98.32,100.89,105.94
19280428,101.55,98.07,100.98,105.95
19280430,101.61,98.31,100.42,105.96
19280501,101.87,98.50,100.87,105.98
19280502,101.95,98.90,100.59,106.00
19280503,102.35,99.10,99.94,106.01
19280504,103.56,98.43,99.70,106.03
19280507,100.69,98.75,99.46,106.04
19280508,100.13,98.64,99.11,106.06
19280509,100.04,98.37,99.74,106.08
19280510,99.87,98.73,99.36,106.09
19280511,100.64,99.28,98.85,106.11
19280514,101.13,99.83,98.96,106.12
19280515,101.09,100.64,98.44,106.14
19280516,99.56,100.52,97.98,106.16
19280517,100.02,100.21,97.31,106.17
19280518,99.28,100.38,98.44,106.19
19280521,98.13,101.02,98.24,106.20
19280522,98.59,100.53,97.69,106.22
19280523,100.29,100.37,97.46,106.24
19280524,100.80,100.97,97.81,106.25
19280525,101.00,101.30,97.75,106.27
19280528,99.51,100.87,97.44,106.28
19280529,100.39,100.54,97.37,106.30
19280531,101.33,101.04,97.58,106.32
19280601,100.31,100.99,97.25,106.33
19280602,100.95,101.32,97.20,106.34
19280604,98.15,101.39,96.98,106.35
19280605,98.36,101.75,96.90,106.37
19280606,97.53,102.16,96.99,106.38
19280607,97.02,101.38,96.22,106.39
19280608,95.68,101.22,95.44,106.40
19280609,94.44,100.99,95.16,106.42
19280611,92.26,99.89,94.77,106.43
19280612,97.67,96.68,94.78,106.44
19280613,100.74,96.99,95.47,106.46
19280614,100.95,98.44,96.43,106.47
19280615,99.70,98.27,96.88,106.48
19280616,99.67,97.71,96.85,106.49
19280618,97.66,97.82,96.66,106.51
19280619,97.06,96.58,96.46,106.52
19280620,98.40,96.64,96.89,106.53
19280621,98.55,97.11,97.38,106.54
19280622,99.97,97.27,97.80,106.56
19280623,99.32,97.41,97.55,106.57
19280625,100.09,96.76,98.02,106.58
19280626,101.09,96.59,98.03,106.60
19280627,102.11,97.15,97.89,106.61
19280628,102.95,97.35,97.66,106.62
19280629,103.45,97.26,97.98,106.63
19280630,103.58,97.31,97.70,106.65
19280702,102.33,97.29,97.43,106.66
19280703,101.61,97.00,97.55,106.67
19280705,102.57,96.97,97.59,106.69
19280706,99.68,97.15,97.91,106.70
19280707,99.94,97.19,98.30,106.72
19280709,99.95,97.25,97.84,106.73
19280710,99.68,97.34,97.11,106.74
19280711,97.36,97.50,96.95,106.76
19280712,96.73,96.88,97.59,106.77
19280713,97.41,96.77,97.51,106.79
19280714,99.96,97.04,97.83,106.80
19280716,98.73,96.91,97.79,106.81
19280717,100.45,96.59,97.33,106.83
19280718,101.34,96.49,96.88,106.84
19280719,101.18,96.82,97.46,106.86
19280720,101.29,96.76,97.57,106.87
19280721,101.05,96.92,97.75,106.88
19280723,101.68,96.69,97.40,106.90
19280724,101.72,96.84,98.00,106.91
19280725,100.43,96.76,97.66,106.92
19280726,100.65,96.61,97.95,106.94
19280727,100.78,96.27,97.17,106.95
19280728,101.03,96.10,97.20,106.97
19280730,100.90,95.99,97.28,106.98
19280731,100.79,95.97,97.17,106.99
19280801,101.05,95.89,97.18,107.01
19280802,100.60,95.99,97.17,107.02
19280803,100.82,95.95,97.36,107.03
19280804,100.22,96.10,97.53,107.05
19280806,100.95,95.87,97.22,107.06
19280807,99.65,95.97,97.72,107.07
19280808,98.53,96.12,97.75,107.08
19280809,98.65,96.10,97.44,107.10
19280810,98.45,96.16,97.40,107.11
19280811,98.57,96.23,97.27,107.12
19280813,98.52,96.28,97.49,107.14
19280814,97.87,96.80,97.53,107.15
19280815,101.38,96.15,97.23,107.16
19280816,102.18,95.94,97.45,107.17
19280817,100.29,95.64,96.99,107.19
19280818,100.57,95.66,97.50,107.20
19280820,100.80,95.74,97.43,107.21
19280821,101.79,95.36,96.97,107.23
19280822,101.93,95.36,96.38,107.24
19280823,101.93,95.39,96.41,107.25
19280824,103.34,95.03,96.25,107.26
19280825,100.28,94.93,96.19,107.28
19280827,99.99,95.06,95.58,107.29
19280828,100.58,94.69,95.36,107.30
19280829,100.82,94.72,95.45,107.32
19280830,101.09,94.74,95.54,107.33
19280831,102.26,94.10,95.29,107.34
19280901,102.51,94.24,95.35,107.35
19280904,102.93,94.21,95.26,107.37
19280905,103.35,94.22,95.17,107.38
19280906,99.60,94.38,95.66,107.39
19280907,100.25,94.71,95.47,107.40
19280908,99.70,94.89,95.50,107.41
19280910,99.33,95.10,95.48,107.42
19280911,99.96,94.92,95.68,107.44
19280912,100.30,94.87,95.86,107.45
19280913,100.20,94.93,95.56,107.46
19280914,100.33,95.06,95.97,107.47
19280915,100.91,94.77,96.67,107.48
19280917,100.54,95.44,96.79,107.50
19280918,99.86,96.04,96.13,107.51
19280919,99.93,96.18,96.57,107.52
19280920,100.08,96.70,96.45,107.53
19280921,100.75,96.25,96.61,107.54
19280922,100.51,96.43,97.28,107.55
19280924,101.14,96.01,97.20,107.57
19280925,101.07,96.23,97.32,107.58
19280926,100.92,96.43,96.79,107.59
19280927,98.78,96.28,96.79,107.60
19280928,98.79,96.18,96.34,107.61
19280929,101.03,96.18,96.15,107.63
19281001,100.92,96.99,95.85,107.64
19281002,100.47,97.10,95.82,107.66
19281003,100.19,97.64,95.97,107.68
19281004,100.44,97.81,96.26,107.69
19281005,100.15,98.25,96.21,107.71
19281006,100.10,98.25,96.40,107.73
19281008,99.67,98.11,96.13,107.75
19281009,99.79,98.21,95.12,107.76
19281010,100.92,98.18,95.06,107.78
19281011,101.23,98.67,94.26,107.80
19281013,101.79,99.08,93.81,107.81
19281015,102.18,98.63,93.95,107.83
19281016,102.48,98.44,94.48,107.85
19281017,102.79,99.23,94.70,107.87
19281018,103.09,98.93,94.35,107.88
19281019,100.45,98.74,93.83,107.90
19281020,100.01,98.97,93.81,107.92
19281022,99.88,99.26,93.24,107.94
19281023,100.54,99.17,93.60,107.95
19281024,100.76,99.13,93.94,107.97
19281025,100.50,99.07,94.17,107.99
19281026,99.35,98.67,94.13,108.00
19281027,100.21,98.84,94.06,108.02
19281029,100.90,98.79,94.58,108.04
19281030,98.95,98.48,94.42,108.06
19281031,98.47,98.17,93.89,108.07
19281101,101.29,97.94,93.65,108.09
19281102,101.19,97.73,93.93,108.11
19281103,101.23,97.70,93.63,108.13
19281105,102.37,97.42,93.84,108.15
19281107,103.59,97.43,94.64,108.17
19281108,103.33,97.44,94.51,108.18
19281109,104.08,97.07,94.95,108.20
19281110,100.78,97.06,95.40,108.22
